---,CharacterBlueprintKey,Icon,Name,ID,Lv,MaxHealth,Health,PhysicalAttack,Armor,MaxEmpircalValue,EmpircalValue,CD,AttackSpeed,Gold,Introduction,AddGold,AddHealth,AddPhysicalAttack,AddArmor,AddPEmpiricalValue,AddAttackSpeed,RestoreHealth,AddPassiveSkillHealth,AddContinueHealth,AddPassiveSkillPhysicalAttack,AddPassiveSkillArmor,AddPassiveSkillAttackSpeed,ReducePassiveSkillCDTime,ConstructionTime,CharacterSkill
NewRow,"/Game/Character/Monster/LittleMonster/LittleMonster1/BP/LittleMonster1_BP.LittleMonster1_BP_C","/Game/Character/Monster/LittleMonster/LittleMonster1/Texture/MonsterTypeYueTextureArray.MonsterTypeYueTextureArray","adad","-1","1","100.000000","123.000000","10.000000","10.000000","100.000000","100.000000","2.000000","0.660000","80.000000","","30.000000","0.000000","0.000000","0.000000","20.000000","0.000000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.450000","5.000000","()"
NewRow_0,"None","None","None","-1","1","100.000000","100.000000","10.000000","10.000000","100.000000","100.000000","2.000000","0.660000","12.000000","","30.000000","0.000000","0.000000","0.000000","20.000000","23.000000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.450000","5.000000","()"
NewRow_1,"None","None","None","-1","1","100.000000","100.000000","10.000000","5.000000","100.000000","100.000000","2.000000","5.000000","80.000000","","30.000000","0.000000","0.000000","0.000000","20.000000","0.000000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.450000","5.000000","()"
NewRow_2,"None","None","None","-1","1","100.000000","100.000000","10.000000","10.000000","100.000000","21.000000","31.000000","0.660000","12.000000","NSLOCTEXT(""newTable [6BFA41584B558ACDD3C665A13AD6EFE6]"", ""NewRow_2_Introduction"", ""3"")","30.000000","0.000000","0.000000","231.000000","20.000000","0.000000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.450000","5.000000","()"
NewRow_3,"None","None","None","-1","1","100.000000","100.000000","10.000000","10.000000","100.000000","100.000000","2.000000","0.660000","80.000000","","30.000000","0.000000","0.000000","0.000000","20.000000","1.000000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.450000","5.000000","()"
NewRow_4,"None","None","None","-1","1","100.000000","100.000000","10.000000","10.000000","100.000000","45342.000000","1.000000","0.660000","80.000000","","30.000000","0.000000","0.000000","0.000000","20.000000","0.000000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.450000","5.000000","()"
NewRow_5,"None","None","None","-1","1","100.000000","100.000000","10.000000","10.000000","100.000000","23.000000","2.000000","0.660000","80.000000","","30.000000","0.000000","0.000000","0.000000","20.000000","0.000000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.450000","5.000000","()"
NewRow_6,"None","None","None","-1","1","100.000000","100.000000","10.000000","10.000000","100.000000","23.000000","2.000000","1231.000000","80.000000","","30.000000","23.000000","0.000000","0.000000","20.000000","0.000000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.450000","5.000000","()"
NewRow_7,"None","None","None","-1","1","100.000000","100.000000","10.000000","42.000000","100.000000","100.000000","2.000000","0.660000","80.000000","","30.000000","0.000000","0.000000","0.000000","20.000000","0.000000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.450000","5.000000","()"
NewRow_8,"None","None","None","-1","1","100.000000","100.000000","10.000000","10.000000","100.000000","100.000000","2.000000","0.660000","80.000000","","30.000000","0.000000","0.000000","0.000000","23.000000","0.000000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.450000","5.000000","()"
NewRow_9,"None","None","None","-1","1","100.000000","100.000000","10.000000","10.000000","100.000000","100.000000","2.000000","0.660000","80.000000","","30.000000","0.000000","0.000000","0.000000","20.000000","0.000000","0.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.450000","5.000000","()"
